code,name,condition
G5741,"Lesion of medial popliteal nerve, right lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5742,"Lesion of medial popliteal nerve, left lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5743,"Lesion of medial popliteal nerve, bilateral lower limbs",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5760,"Lesion of plantar nerve, unspecified lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5761,"Lesion of plantar nerve, right lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5762,"Lesion of plantar nerve, left lower limb",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5763,"Lesion of plantar nerve, bilateral lower limbs",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5770,Causalgia of unspecified lower limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5771,Causalgia of right lower limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5772,Causalgia of left lower limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5773,Causalgia of bilateral lower limbs,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5780,Other specified mononeuropathies of unspecified lower limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5781,Other specified mononeuropathies of right lower limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5782,Other specified mononeuropathies of left lower limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G5783,Other specified mononeuropathies of bilateral lower limbs,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G580,Intercostal neuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G587,Mononeuritis multiplex,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G600,Hereditary motor and sensory neuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G601,Refsum's disease,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G602,Neuropathy in association with hereditary ataxia,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G603,Idiopathic progressive neuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G608,Other hereditary and idiopathic neuropathies,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G609,"Hereditary and idiopathic neuropathy, unspecified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G610,Guillain-Barre syndrome,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G611,Serum neuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G6181,Chronic inflammatory demyelinating polyneuritis,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G6182,Multifocal motor neuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G6189,Other inflammatory polyneuropathies,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G621,Alcoholic polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G622,Polyneuropathy due to other toxic agents,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G6281,Critical illness polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G6282,Radiation-induced polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G6289,Other specified polyneuropathies,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G63,Polyneuropathy in diseases classified elsewhere,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G64,Other disorders of peripheral nervous system,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G650,Sequelae of Guillain-Barre syndrome,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G651,Sequelae of other inflammatory polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G652,Sequelae of toxic polyneuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G890,Central pain syndrome,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G8921,Chronic pain due to trauma,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G8922,Chronic post-thoracotomy pain,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G8928,Other chronic postprocedural pain,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G8929,Other chronic pain,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G894,Chronic pain syndrome,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G9001,Carotid sinus syncope,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G9009,Other idiopathic peripheral autonomic neuropathy,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G9050,"Complex regional pain syndrome I, unspecified",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G90511,Complex regional pain syndrome I of right upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G90512,Complex regional pain syndrome I of left upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G90513,"Complex regional pain syndrome I of upper limb, bilateral",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G90519,Complex regional pain syndrome I of unspecified upper limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G90521,Complex regional pain syndrome I of right lower limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G90522,Complex regional pain syndrome I of left lower limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G90523,"Complex regional pain syndrome I of lower limb, bilateral",Arthritis/Joint/Bone Pain (Other than Back/Neck)
G90529,Complex regional pain syndrome I of unspecified lower limb,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G9059,Complex regional pain syndrome I of other specified site,Arthritis/Joint/Bone Pain (Other than Back/Neck)
G990,Autonomic neuropathy in diseases classified elsewhere,Arthritis/Joint/Bone Pain (Other than Back/Neck)
K580,Irritable bowel syndrome with diarrhea,Arthritis/Joint/Bone Pain (Other than Back/Neck)
K581,Irritable bowel syndrome with constipation,Arthritis/Joint/Bone Pain (Other than Back/Neck)
K582,Mixed irritable bowel syndrome,Arthritis/Joint/Bone Pain (Other than Back/Neck)
K588,Other irritable bowel syndrome,Arthritis/Joint/Bone Pain (Other than Back/Neck)
K589,Irritable bowel syndrome without diarrhea,Arthritis/Joint/Bone Pain (Other than Back/Neck)
M0000,"Staphylococcal arthritis, unspecified joint",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00011,"Staphylococcal arthritis, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00012,"Staphylococcal arthritis, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00019,"Staphylococcal arthritis, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00021,"Staphylococcal arthritis, right elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00022,"Staphylococcal arthritis, left elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00029,"Staphylococcal arthritis, unspecified elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00031,"Staphylococcal arthritis, right wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00032,"Staphylococcal arthritis, left wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00039,"Staphylococcal arthritis, unspecified wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00041,"Staphylococcal arthritis, right hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00042,"Staphylococcal arthritis, left hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00049,"Staphylococcal arthritis, unspecified hand",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00051,"Staphylococcal arthritis, right hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00052,"Staphylococcal arthritis, left hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00059,"Staphylococcal arthritis, unspecified hip",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00061,"Staphylococcal arthritis, right knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00062,"Staphylococcal arthritis, left knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00069,"Staphylococcal arthritis, unspecified knee",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00071,"Staphylococcal arthritis, right ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00072,"Staphylococcal arthritis, left ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00079,"Staphylococcal arthritis, unspecified ankle and foot",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M0008,"Staphylococcal arthritis, vertebrae",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M0009,Staphylococcal polyarthritis,Arthritis/Joint/Bone Pain (Other than Back/Neck)
M0010,"Pneumococcal arthritis, unspecified joint",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00111,"Pneumococcal arthritis, right shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00112,"Pneumococcal arthritis, left shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00119,"Pneumococcal arthritis, unspecified shoulder",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00121,"Pneumococcal arthritis, right elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00122,"Pneumococcal arthritis, left elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00129,"Pneumococcal arthritis, unspecified elbow",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00131,"Pneumococcal arthritis, right wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
M00132,"Pneumococcal arthritis, left wrist",Arthritis/Joint/Bone Pain (Other than Back/Neck)
