code,name
C090,MALIGNANT NEOPLASM OF TONSILLAR FOSSA
C091,MALIG NEOPLASM OF TONSILLAR PILLAR (ANTERIOR) (POSTERIOR)
C098,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF TONSIL
C099,"MALIGNANT NEOPLASM OF TONSIL, UNSPECIFIED"
C100,MALIGNANT NEOPLASM OF VALLECULA
C101,MALIGNANT NEOPLASM OF ANTERIOR SURFACE OF EPIGLOTTIS
C102,MALIGNANT NEOPLASM OF LATERAL WALL OF OROPHARYNX
C103,MALIGNANT NEOPLASM OF POSTERIOR WALL OF OROPHARYNX
C104,MALIGNANT NEOPLASM OF BRANCHIAL CLEFT
C108,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF OROPHARYNX
C109,"MALIGNANT NEOPLASM OF OROPHARYNX, UNSPECIFIED"
C110,MALIGNANT NEOPLASM OF SUPERIOR WALL OF NASOPHARYNX
C111,MALIGNANT NEOPLASM OF POSTERIOR WALL OF NASOPHARYNX
C112,MALIGNANT NEOPLASM OF LATERAL WALL OF NASOPHARYNX
C113,MALIGNANT NEOPLASM OF ANTERIOR WALL OF NASOPHARYNX
C118,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF NASOPHARYNX
C119,"MALIGNANT NEOPLASM OF NASOPHARYNX, UNSPECIFIED"
C12,MALIGNANT NEOPLASM OF PYRIFORM SINUS
C130,MALIGNANT NEOPLASM OF POSTCRICOID REGION
C131,"MALIG NEOPLASM OF ARYEPIGLOTTIC FOLD, HYPOPHARYNGEAL ASPECT"
C132,MALIGNANT NEOPLASM OF POSTERIOR WALL OF HYPOPHARYNX
C138,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF HYPOPHARYNX
C139,"MALIGNANT NEOPLASM OF HYPOPHARYNX, UNSPECIFIED"
C140,"MALIGNANT NEOPLASM OF PHARYNX, UNSPECIFIED"
C142,MALIGNANT NEOPLASM OF WALDEYER'S RING
C148,"MALIG NEOPLM OF OVRLP SITES OF LIP, ORAL CAVITY AND PHARYNX"
C153,MALIGNANT NEOPLASM OF UPPER THIRD OF ESOPHAGUS
C154,MALIGNANT NEOPLASM OF MIDDLE THIRD OF ESOPHAGUS
C155,MALIGNANT NEOPLASM OF LOWER THIRD OF ESOPHAGUS
C158,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF ESOPHAGUS
C159,"MALIGNANT NEOPLASM OF ESOPHAGUS, UNSPECIFIED"
C160,MALIGNANT NEOPLASM OF CARDIA
C161,MALIGNANT NEOPLASM OF FUNDUS OF STOMACH
C162,MALIGNANT NEOPLASM OF BODY OF STOMACH
C163,MALIGNANT NEOPLASM OF PYLORIC ANTRUM
C164,MALIGNANT NEOPLASM OF PYLORUS
C165,"MALIGNANT NEOPLASM OF LESSER CURVATURE OF STOMACH, UNSP"
C166,"MALIGNANT NEOPLASM OF GREATER CURVATURE OF STOMACH, UNSP"
C168,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF STOMACH
C169,"MALIGNANT NEOPLASM OF STOMACH, UNSPECIFIED"
C170,MALIGNANT NEOPLASM OF DUODENUM
C171,MALIGNANT NEOPLASM OF JEJUNUM
C172,MALIGNANT NEOPLASM OF ILEUM
C173,"MECKEL'S DIVERTICULUM, MALIGNANT"
C178,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF SMALL INTESTINE
C179,"MALIGNANT NEOPLASM OF SMALL INTESTINE, UNSPECIFIED"
C180,MALIGNANT NEOPLASM OF CECUM
C181,MALIGNANT NEOPLASM OF APPENDIX
C182,MALIGNANT NEOPLASM OF ASCENDING COLON
C183,MALIGNANT NEOPLASM OF HEPATIC FLEXURE
C184,MALIGNANT NEOPLASM OF TRANSVERSE COLON
C185,MALIGNANT NEOPLASM OF SPLENIC FLEXURE
C186,MALIGNANT NEOPLASM OF DESCENDING COLON
C187,MALIGNANT NEOPLASM OF SIGMOID COLON
C188,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF COLON
C189,"MALIGNANT NEOPLASM OF COLON, UNSPECIFIED"
C19,MALIGNANT NEOPLASM OF RECTOSIGMOID JUNCTION
C20,MALIGNANT NEOPLASM OF RECTUM
C210,"MALIGNANT NEOPLASM OF ANUS, UNSPECIFIED"
C211,MALIGNANT NEOPLASM OF ANAL CANAL
C212,MALIGNANT NEOPLASM OF CLOACOGENIC ZONE
C218,"MALIG NEOPLASM OF OVRLP SITES OF RECTUM, ANUS AND ANAL CANAL"
C220,LIVER CELL CARCINOMA
C221,INTRAHEPATIC BILE DUCT CARCINOMA
C222,HEPATOBLASTOMA
C223,ANGIOSARCOMA OF LIVER
C224,OTHER SARCOMAS OF LIVER
C227,OTHER SPECIFIED CARCINOMAS OF LIVER
C228,"MALIGNANT NEOPLASM OF LIVER, PRIMARY, UNSPECIFIED AS TO TYPE"
C229,"MALIG NEOPLASM OF LIVER, NOT SPECIFIED AS PRIMARY OR SEC"
C23,MALIGNANT NEOPLASM OF GALLBLADDER
C240,MALIGNANT NEOPLASM OF EXTRAHEPATIC BILE DUCT
C241,MALIGNANT NEOPLASM OF AMPULLA OF VATER
C248,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF BILIARY TRACT
C249,"MALIGNANT NEOPLASM OF BILIARY TRACT, UNSPECIFIED"
C250,MALIGNANT NEOPLASM OF HEAD OF PANCREAS
C251,MALIGNANT NEOPLASM OF BODY OF PANCREAS
C252,MALIGNANT NEOPLASM OF TAIL OF PANCREAS
C253,MALIGNANT NEOPLASM OF PANCREATIC DUCT
C254,MALIGNANT NEOPLASM OF ENDOCRINE PANCREAS
C257,MALIGNANT NEOPLASM OF OTHER PARTS OF PANCREAS
C258,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF PANCREAS
C259,"MALIGNANT NEOPLASM OF PANCREAS, UNSPECIFIED"
C260,"MALIGNANT NEOPLASM OF INTESTINAL TRACT, PART UNSPECIFIED"
C261,MALIGNANT NEOPLASM OF SPLEEN
C269,MALIGNANT NEOPLASM OF ILL-DEFINED SITES WITHIN THE DGSTV SYS
C300,MALIGNANT NEOPLASM OF NASAL CAVITY
C301,MALIGNANT NEOPLASM OF MIDDLE EAR
C310,MALIGNANT NEOPLASM OF MAXILLARY SINUS
C311,MALIGNANT NEOPLASM OF ETHMOIDAL SINUS
C312,MALIGNANT NEOPLASM OF FRONTAL SINUS
C313,MALIGNANT NEOPLASM OF SPHENOID SINUS
C318,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF ACCESSORY SINUSES
C319,"MALIGNANT NEOPLASM OF ACCESSORY SINUS, UNSPECIFIED"
C320,MALIGNANT NEOPLASM OF GLOTTIS
C321,MALIGNANT NEOPLASM OF SUPRAGLOTTIS
C322,MALIGNANT NEOPLASM OF SUBGLOTTIS
C323,MALIGNANT NEOPLASM OF LARYNGEAL CARTILAGE
C328,MALIGNANT NEOPLASM OF OVERLAPPING SITES OF LARYNX
C329,"MALIGNANT NEOPLASM OF LARYNX, UNSPECIFIED"
C33,MALIGNANT NEOPLASM OF TRACHEA
C3400,MALIGNANT NEOPLASM OF UNSPECIFIED MAIN BRONCHUS
C3401,MALIGNANT NEOPLASM OF RIGHT MAIN BRONCHUS
C3402,MALIGNANT NEOPLASM OF LEFT MAIN BRONCHUS
C3410,"MALIGNANT NEOPLASM OF UPPER LOBE, UNSP BRONCHUS OR LUNG"
C3411,"MALIGNANT NEOPLASM OF UPPER LOBE, RIGHT BRONCHUS OR LUNG"
C3412,"MALIGNANT NEOPLASM OF UPPER LOBE, LEFT BRONCHUS OR LUNG"
C342,"MALIGNANT NEOPLASM OF MIDDLE LOBE, BRONCHUS OR LUNG"
C3430,"MALIGNANT NEOPLASM OF LOWER LOBE, UNSP BRONCHUS OR LUNG"
C3431,"MALIGNANT NEOPLASM OF LOWER LOBE, RIGHT BRONCHUS OR LUNG"
C3432,"MALIGNANT NEOPLASM OF LOWER LOBE, LEFT BRONCHUS OR LUNG"
C3480,MALIGNANT NEOPLASM OF OVRLP SITES OF UNSP BRONCHUS AND LUNG
C3481,MALIGNANT NEOPLASM OF OVRLP SITES OF RIGHT BRONCHUS AND LUNG
C3482,MALIGNANT NEOPLASM OF OVRLP SITES OF LEFT BRONCHUS AND LUNG
C3490,MALIGNANT NEOPLASM OF UNSP PART OF UNSP BRONCHUS OR LUNG
C3491,MALIGNANT NEOPLASM OF UNSP PART OF RIGHT BRONCHUS OR LUNG
C3492,MALIGNANT NEOPLASM OF UNSP PART OF LEFT BRONCHUS OR LUNG
C37,MALIGNANT NEOPLASM OF THYMUS
C380,MALIGNANT NEOPLASM OF HEART
C381,MALIGNANT NEOPLASM OF ANTERIOR MEDIASTINUM
C382,MALIGNANT NEOPLASM OF POSTERIOR MEDIASTINUM
C383,"MALIGNANT NEOPLASM OF MEDIASTINUM, PART UNSPECIFIED"
C384,MALIGNANT NEOPLASM OF PLEURA
C388,"MALIG NEOPLM OF OVRLP SITES OF HEART, MEDIASTINUM AND PLEURA"
C390,"MALIGNANT NEOPLASM OF UPPER RESPIRATORY TRACT, PART UNSP"
C399,"MALIGNANT NEOPLASM OF LOWER RESPIRATORY TRACT, PART UNSP"
C4000,MALIG NEOPLASM OF SCAPULA AND LONG BONES OF UNSP UPPER LIMB
C4001,MALIG NEOPLASM OF SCAPULA AND LONG BONES OF RIGHT UPPER LIMB
C4002,MALIG NEOPLASM OF SCAPULA AND LONG BONES OF LEFT UPPER LIMB
C4010,MALIGNANT NEOPLASM OF SHORT BONES OF UNSPECIFIED UPPER LIMB
C4011,MALIGNANT NEOPLASM OF SHORT BONES OF RIGHT UPPER LIMB
C4012,MALIGNANT NEOPLASM OF SHORT BONES OF LEFT UPPER LIMB
C4020,MALIGNANT NEOPLASM OF LONG BONES OF UNSPECIFIED LOWER LIMB
C4021,MALIGNANT NEOPLASM OF LONG BONES OF RIGHT LOWER LIMB
C4022,MALIGNANT NEOPLASM OF LONG BONES OF LEFT LOWER LIMB
C4030,MALIGNANT NEOPLASM OF SHORT BONES OF UNSPECIFIED LOWER LIMB
C4031,MALIGNANT NEOPLASM OF SHORT BONES OF RIGHT LOWER LIMB
C4032,MALIGNANT NEOPLASM OF SHORT BONES OF LEFT LOWER LIMB
C4080,MALIG NEOPLM OF OVRLP SITES OF BONE/ARTIC CARTL OF UNSP LIMB
C4081,MALIG NEOPLM OF OVRLP SITES OF BONE/ARTIC CARTL OF R LIMB
C4082,MALIG NEOPLM OF OVRLP SITES OF BONE/ARTIC CARTL OF LEFT LIMB
C4090,MALIG NEOPLASM OF UNSP BONES AND ARTIC CARTLG OF UNSP LIMB
C4091,MALIG NEOPLASM OF UNSP BONES AND ARTIC CARTLG OF RIGHT LIMB
C4092,MALIG NEOPLASM OF UNSP BONES AND ARTIC CARTLG OF LEFT LIMB
C410,MALIGNANT NEOPLASM OF BONES OF SKULL AND FACE
C411,MALIGNANT NEOPLASM OF MANDIBLE
C412,MALIGNANT NEOPLASM OF VERTEBRAL COLUMN
C413,"MALIGNANT NEOPLASM OF RIBS, STERNUM AND CLAVICLE"
C414,"MALIGNANT NEOPLASM OF PELVIC BONES, SACRUM AND COCCYX"
C419,"MALIGNANT NEOPLASM OF BONE AND ARTICULAR CARTILAGE, UNSP"
C430,MALIGNANT MELANOMA OF LIP
C4310,"MALIGNANT MELANOMA OF UNSPECIFIED EYELID, INCLUDING CANTHUS"
C4311,"MALIGNANT MELANOMA OF RIGHT EYELID, INCLUDING CANTHUS"
C43111,"MALIGNANT MELANOMA OF RIGHT UPPER EYELID, INCLUDING CANTHUS"
C43112,"MALIGNANT MELANOMA OF RIGHT LOWER EYELID, INCLUDING CANTHUS"
C4312,"MALIGNANT MELANOMA OF LEFT EYELID, INCLUDING CANTHUS"
C43121,"MALIGNANT MELANOMA OF LEFT UPPER EYELID, INCLUDING CANTHUS"
C43122,"MALIGNANT MELANOMA OF LEFT LOWER EYELID, INCLUDING CANTHUS"
C4320,MALIGNANT MELANOMA OF UNSP EAR AND EXTERNAL AURICULAR CANAL
C4321,MALIGNANT MELANOMA OF RIGHT EAR AND EXTERNAL AURICULAR CANAL
C4322,MALIGNANT MELANOMA OF LEFT EAR AND EXTERNAL AURICULAR CANAL
C4330,MALIGNANT MELANOMA OF UNSPECIFIED PART OF FACE
C4331,MALIGNANT MELANOMA OF NOSE
C4339,MALIGNANT MELANOMA OF OTHER PARTS OF FACE
C434,MALIGNANT MELANOMA OF SCALP AND NECK
C4351,MALIGNANT MELANOMA OF ANAL SKIN
C4352,MALIGNANT MELANOMA OF SKIN OF BREAST
C4359,MALIGNANT MELANOMA OF OTHER PART OF TRUNK
C4360,"MALIGNANT MELANOMA OF UNSP UPPER LIMB, INCLUDING SHOULDER"
C4361,"MALIGNANT MELANOMA OF RIGHT UPPER LIMB, INCLUDING SHOULDER"
C4362,"MALIGNANT MELANOMA OF LEFT UPPER LIMB, INCLUDING SHOULDER"
C4370,"MALIGNANT MELANOMA OF UNSPECIFIED LOWER LIMB, INCLUDING HIP"
C4371,"MALIGNANT MELANOMA OF RIGHT LOWER LIMB, INCLUDING HIP"
C4372,"MALIGNANT MELANOMA OF LEFT LOWER LIMB, INCLUDING HIP"
C438,MALIGNANT MELANOMA OF OVERLAPPING SITES OF SKIN
C439,"MALIGNANT MELANOMA OF SKIN, UNSPECIFIED"
C4400,UNSPECIFIED MALIGNANT NEOPLASM OF SKIN OF LIP
C4401,BASAL CELL CARCINOMA OF SKIN OF LIP
C4402,SQUAMOUS CELL CARCINOMA OF SKIN OF LIP
C4409,OTHER SPECIFIED MALIGNANT NEOPLASM OF SKIN OF LIP
C44101,"UNSP MALIGNANT NEOPLASM SKIN/ UNSP EYELID, INCLUDING CANTHUS"
C44102,"UNSP MALIGNANT NEOPLASM SKIN/ RIGHT EYELID, INC CANTHUS"
C441021,"UNSP MALIG NEOPLASM SKIN/ RIGHT UPPER EYELID, INC CANTHUS"
C441022,"UNSP MALIG NEOPLASM SKIN/ RIGHT LOWER EYELID, INC CANTHUS"
C44109,"UNSP MALIGNANT NEOPLASM SKIN/ LEFT EYELID, INCLUDING CANTHUS"
C441091,"UNSP MALIGNANT NEOPLASM SKIN/ LEFT UPPER EYELID, INC CANTHUS"
C441092,"UNSP MALIGNANT NEOPLASM SKIN/ LEFT LOWER EYELID, INC CANTHUS"
C44111,"BASAL CELL CARCINOMA SKIN/ UNSP EYELID, INCLUDING CANTHUS"
C44112,"BASAL CELL CARCINOMA SKIN/ RIGHT EYELID, INCLUDING CANTHUS"
C441121,"BASAL CELL CARCINOMA SKIN/ RIGHT UPPER EYELID, INC CANTHUS"
C441122,"BASAL CELL CARCINOMA SKIN/ RIGHT LOWER EYELID, INC CANTHUS"
C44119,"BASAL CELL CARCINOMA SKIN/ LEFT EYELID, INCLUDING CANTHUS"
C441191,"BASAL CELL CARCINOMA SKIN/ LEFT UPPER EYELID, INC CANTHUS"
C441192,"BASAL CELL CARCINOMA SKIN/ LEFT LOWER EYELID, INC CANTHUS"
C44121,"SQUAMOUS CELL CARCINOMA SKIN/ UNSP EYELID, INCLUDING CANTHUS"
C44122,"SQUAMOUS CELL CARCINOMA SKIN/ RIGHT EYELID, INC CANTHUS"
C441221,"SQUAMOUS CELL CARCINOMA SKIN/ R UPPER EYELID, INC CANTHUS"
C441222,"SQUAMOUS CELL CARCINOMA SKIN/ RIGHT LOW EYELID, INC CANTHUS"
C44129,"SQUAMOUS CELL CARCINOMA SKIN/ LEFT EYELID, INCLUDING CANTHUS"
C441291,"SQUAMOUS CELL CARCINOMA SKIN/ LEFT UPPER EYELID, INC CANTHUS"
C441292,"SQUAMOUS CELL CARCINOMA SKIN/ LEFT LOWER EYELID, INC CANTHUS"
C44131,"SEBACEOUS CELL CARCINOMA SKIN/ UNSPLID, INCLUDING CANTHUS"
C441321,"SEBACEOUS CELL CARCINOMA SKIN/ R UPPER EYELID, INC CANTHUS"
C441322,"SEBACEOUS CELL CARCINOMA SKIN/ RIGHT LOW EYELID, INC CANTHUS"
C441391,"SEBACEOUS CELL CARCINOMA SKIN/ LEFT UPR EYELID, INC CANTHUS"
C441392,"SEBACEOUS CELL CARCINOMA SKIN/ LEFT LOW EYELID, INC CANTHUS"
C44191,"OTH MALIGNANT NEOPLASM SKIN/ UNSP EYELID, INCLUDING CANTHUS"
C44192,"OTH MALIGNANT NEOPLASM SKIN/ RIGHT EYELID, INCLUDING CANTHUS"
C441921,"OTH MALIGNANT NEOPLASM SKIN/ RIGHT UPPER EYELID, INC CANTHUS"
C441922,"OTH MALIGNANT NEOPLASM SKIN/ RIGHT LOWER EYELID, INC CANTHUS"
C44199,"OTH MALIGNANT NEOPLASM SKIN/ LEFT EYELID, INCLUDING CANTHUS"
C441991,"OTH MALIGNANT NEOPLASM SKIN/ LEFT UPPER EYELID, INC CANTHUS"
C441992,"OTH MALIGNANT NEOPLASM SKIN/ LEFT LOWER EYELID, INC CANTHUS"
C44201,UNSP MALIG NEOPLASM SKIN/ UNSP EAR AND EXTERNAL AURIC CANAL
C44202,UNSP MALIG NEOPLASM SKIN/ RIGHT EAR AND EXTERNAL AURIC CANAL
C44209,UNSP MALIG NEOPLASM SKIN/ LEFT EAR AND EXTERNAL AURIC CANAL
C44211,BASAL CELL CARCINOMA SKIN/ UNSP EAR AND EXTERNAL AURIC CANAL
C44212,BASAL CELL CARCINOMA SKIN/ R EAR AND EXTERNAL AURIC CANAL
C44219,BASAL CELL CARCINOMA SKIN/ LEFT EAR AND EXTERNAL AURIC CANAL
C44221,SQUAMOUS CELL CARCINOMA SKIN/ UNSP EAR AND EXTRN AURIC CANAL
C44222,SQUAMOUS CELL CARCINOMA SKIN/ R EAR AND EXTERNAL AURIC CANAL
C44229,SQUAMOUS CELL CARCINOMA SKIN/ LEFT EAR AND EXTRN AURIC CANAL
C44291,OTH MALIG NEOPLASM SKIN/ UNSP EAR AND EXTERNAL AURIC CANAL
C44292,OTH MALIG NEOPLASM SKIN/ RIGHT EAR AND EXTERNAL AURIC CANAL
C44299,OTH MALIG NEOPLASM SKIN/ LEFT EAR AND EXTERNAL AURIC CANAL
C44300,UNSP MALIGNANT NEOPLASM OF SKIN OF UNSPECIFIED PART OF FACE
C44301,UNSPECIFIED MALIGNANT NEOPLASM OF SKIN OF NOSE
C44309,UNSP MALIGNANT NEOPLASM OF SKIN OF OTHER PARTS OF FACE
C44310,BASAL CELL CARCINOMA OF SKIN OF UNSPECIFIED PARTS OF FACE
C44311,BASAL CELL CARCINOMA OF SKIN OF NOSE
C44319,BASAL CELL CARCINOMA OF SKIN OF OTHER PARTS OF FACE
C44320,SQUAMOUS CELL CARCINOMA OF SKIN OF UNSPECIFIED PARTS OF FACE
C44321,SQUAMOUS CELL CARCINOMA OF SKIN OF NOSE
C44329,SQUAMOUS CELL CARCINOMA OF SKIN OF OTHER PARTS OF FACE
C44390,OTH MALIGNANT NEOPLASM OF SKIN OF UNSPECIFIED PARTS OF FACE
C44391,OTHER SPECIFIED MALIGNANT NEOPLASM OF SKIN OF NOSE
C44399,OTH MALIGNANT NEOPLASM OF SKIN OF OTHER PARTS OF FACE
C4440,UNSPECIFIED MALIGNANT NEOPLASM OF SKIN OF SCALP AND NECK
C4441,BASAL CELL CARCINOMA OF SKIN OF SCALP AND NECK
C4442,SQUAMOUS CELL CARCINOMA OF SKIN OF SCALP AND NECK
C4449,OTHER SPECIFIED MALIGNANT NEOPLASM OF SKIN OF SCALP AND NECK
C44500,UNSPECIFIED MALIGNANT NEOPLASM OF ANAL SKIN
C44501,UNSPECIFIED MALIGNANT NEOPLASM OF SKIN OF BREAST
C44509,UNSP MALIGNANT NEOPLASM OF SKIN OF OTHER PART OF TRUNK
C44510,BASAL CELL CARCINOMA OF ANAL SKIN
C44511,BASAL CELL CARCINOMA OF SKIN OF BREAST
C44519,BASAL CELL CARCINOMA OF SKIN OF OTHER PART OF TRUNK
C44520,SQUAMOUS CELL CARCINOMA OF ANAL SKIN
C44521,SQUAMOUS CELL CARCINOMA OF SKIN OF BREAST
C44529,SQUAMOUS CELL CARCINOMA OF SKIN OF OTHER PART OF TRUNK
C44590,OTHER SPECIFIED MALIGNANT NEOPLASM OF ANAL SKIN
C44591,OTHER SPECIFIED MALIGNANT NEOPLASM OF SKIN OF BREAST
C44599,OTH MALIGNANT NEOPLASM OF SKIN OF OTHER PART OF TRUNK
C44601,"UNSP MALIGNANT NEOPLASM SKIN/ UNSP UPPER LIMB, INC SHOULDER"
C44602,"UNSP MALIGNANT NEOPLASM SKIN/ RIGHT UPPER LIMB, INC SHOULDER"
C44609,"UNSP MALIGNANT NEOPLASM SKIN/ LEFT UPPER LIMB, INC SHOULDER"
C44611,"BASAL CELL CARCINOMA SKIN/ UNSP UPPER LIMB, INC SHOULDER"
C44612,"BASAL CELL CARCINOMA SKIN/ RIGHT UPPER LIMB, INC SHOULDER"
C44619,"BASAL CELL CARCINOMA SKIN/ LEFT UPPER LIMB, INC SHOULDER"
C44621,"SQUAMOUS CELL CARCINOMA SKIN/ UNSP UPPER LIMB, INC SHOULDER"
C44622,"SQUAMOUS CELL CARCINOMA SKIN/ RIGHT UPPER LIMB, INC SHOULDER"
C44629,"SQUAMOUS CELL CARCINOMA SKIN/ LEFT UPPER LIMB, INC SHOULDER"
C44691,"OTH MALIGNANT NEOPLASM SKIN/ UNSP UPPER LIMB, INC SHOULDER"
C44692,"OTH MALIGNANT NEOPLASM SKIN/ RIGHT UPPER LIMB, INC SHOULDER"
C44699,"OTH MALIGNANT NEOPLASM SKIN/ LEFT UPPER LIMB, INC SHOULDER"
C44701,"UNSP MALIGNANT NEOPLASM SKIN/ UNSP LOWER LIMB, INCLUDING HIP"
C44702,"UNSP MALIGNANT NEOPLASM SKIN/ RIGHT LOWER LIMB, INC HIP"
C44709,"UNSP MALIGNANT NEOPLASM SKIN/ LEFT LOWER LIMB, INCLUDING HIP"
C44711,"BASAL CELL CARCINOMA SKIN/ UNSP LOWER LIMB, INCLUDING HIP"
C44712,"BASAL CELL CARCINOMA SKIN/ RIGHT LOWER LIMB, INCLUDING HIP"
C44719,"BASAL CELL CARCINOMA SKIN/ LEFT LOWER LIMB, INCLUDING HIP"
C44721,"SQUAMOUS CELL CARCINOMA SKIN/ UNSP LOWER LIMB, INCLUDING HIP"
C44722,"SQUAMOUS CELL CARCINOMA SKIN/ RIGHT LOWER LIMB, INC HIP"
C44729,"SQUAMOUS CELL CARCINOMA SKIN/ LEFT LOWER LIMB, INCLUDING HIP"
C44791,"OTH MALIGNANT NEOPLASM SKIN/ UNSP LOWER LIMB, INCLUDING HIP"
C44792,"OTH MALIGNANT NEOPLASM SKIN/ RIGHT LOWER LIMB, INCLUDING HIP"
C44799,"OTH MALIGNANT NEOPLASM SKIN/ LEFT LOWER LIMB, INCLUDING HIP"
C4480,UNSPECIFIED MALIGNANT NEOPLASM OF OVERLAPPING SITES OF SKIN
C4481,BASAL CELL CARCINOMA OF OVERLAPPING SITES OF SKIN
C4482,SQUAMOUS CELL CARCINOMA OF OVERLAPPING SITES OF SKIN
C4489,OTH MALIGNANT NEOPLASM OF OVERLAPPING SITES OF SKIN
C4490,"UNSPECIFIED MALIGNANT NEOPLASM OF SKIN, UNSPECIFIED"
C4491,"BASAL CELL CARCINOMA OF SKIN, UNSPECIFIED"
C4492,"SQUAMOUS CELL CARCINOMA OF SKIN, UNSPECIFIED"
C4499,"OTHER SPECIFIED MALIGNANT NEOPLASM OF SKIN, UNSPECIFIED"
C450,MESOTHELIOMA OF PLEURA
C451,MESOTHELIOMA OF PERITONEUM
C452,MESOTHELIOMA OF PERICARDIUM
C457,MESOTHELIOMA OF OTHER SITES
C459,"MESOTHELIOMA, UNSPECIFIED"
C460,KAPOSI'S SARCOMA OF SKIN
C461,KAPOSI'S SARCOMA OF SOFT TISSUE
C462,KAPOSI'S SARCOMA OF PALATE
C463,KAPOSI'S SARCOMA OF LYMPH NODES
C464,KAPOSI'S SARCOMA OF GASTROINTESTINAL SITES
C4650,KAPOSI'S SARCOMA OF UNSPECIFIED LUNG
C4651,KAPOSI'S SARCOMA OF RIGHT LUNG
C4652,KAPOSI'S SARCOMA OF LEFT LUNG
C467,KAPOSI'S SARCOMA OF OTHER SITES
C469,"KAPOSI'S SARCOMA, UNSPECIFIED"
C470,"MALIGNANT NEOPLASM OF PRPH NERVES OF HEAD, FACE AND NECK"
C4710,"MALIG NEOPLM OF PRPH NERVES OF UNSP UPPER LIMB, INC SHOULDER"
C4711,"MALIG NEOPLM OF PRPH NERVES OF RIGHT UPPER LIMB, INC SHLDR"
C4712,"MALIG NEOPLM OF PRPH NERVES OF LEFT UPPER LIMB, INC SHOULDER"
C4720,"MALIG NEOPLASM OF PRPH NERVES OF UNSP LOWER LIMB, INC HIP"
C4721,"MALIG NEOPLASM OF PRPH NERVES OF RIGHT LOWER LIMB, INC HIP"
C4722,"MALIG NEOPLASM OF PRPH NERVES OF LEFT LOWER LIMB, INC HIP"
